score,dropi_id,dropi_nome,dropi_preco,dropi_stock,ecomhub_id,ecomhub_nome,ecomhub_sku,ecomhub_preco,ecomhub_envio,ecomhub_stock,custo_ecomhub_total,diff_preco,mais_barato,margem_pct,score_oportunidade,tags,insight,stock_ratio
0.765,9,Bandas elásticas ejercicio,3.99,848,b2481886-9ba1-438a-9109-7342bc2879fa,Bandas Elasticas,ligaselasticas_14352,4.07,1.5,200,5.57,-1.58,dropi,28.4,51.41,"margem_dropi,escalar_dropi",Fornecedor mais barato no Dropi neste par.,0.24
0.976,1408,Depiladora de laser IPL,12.99,434,1e4d83f3-e73d-442c-b873-fce46be0eab6,Depiladora Laser IPL,depilas_14671,24.98,1.5,100,26.48,-13.49,dropi,50.9,73.78,margem_dropi,Fornecedor mais barato no Dropi neste par.,0.23
0.562,2472,Filtro purificador de agua,3.49,472,3d77e38d-3f8d-4460-a31f-8dc9c50f202c,Filtro de água da torneira,filtrogrifo_13456,5.24,1.5,100,6.74,-3.25,dropi,48.2,39.61,margem_dropi,Fornecedor mais barato no Dropi neste par.,0.21
0.639,950,Luz led RGB con bateria,2.19,1099,281b815d-4a2f-4274-8370-b5a171733af2,Fita de Luz LED RGB 5,tiraled_g-1478,7.1,1.5,200,8.6,-6.41,dropi,74.5,54.79,"margem_dropi,escalar_dropi",Fornecedor mais barato no Dropi neste par.,0.18
0.621,262,Filtro de agua para grifo,4.45,591,3d77e38d-3f8d-4460-a31f-8dc9c50f202c,Filtro de água da torneira,filtrogrifo_13456,5.24,1.5,100,6.74,-2.29,dropi,34.0,40.62,"margem_dropi,escalar_dropi",Fornecedor mais barato no Dropi neste par.,0.17
0.574,233,Depilador Facial En Forma De Pintalabios,2.49,2673,c02f6ef6-1f5b-4ff0-8a46-19850969c2a1,Depilador Facial,depiladorfacial_13330,3.05,1.5,400,4.55,-2.06,dropi,45.3,52.81,"margem_dropi,escalar_dropi",Fornecedor mais barato no Dropi neste par.,0.15
0.591,832,Jarra dispensador de masa con tapa,4.49,760,57c715b3-9db1-4012-89cf-dc3fafb9bfe6,Jarra dispensador de massa,jarradispensador_14169,5.14,1.5,100,6.64,-2.15,dropi,32.4,38.83,"margem_dropi,escalar_dropi",Fornecedor mais barato no Dropi neste par.,0.13
0.644,135,Estimulador de Gluteos,2.99,1592,689eb529-4e67-4575-b9cf-932302f4d70f,Estimulador Muscular de Glúteos EMS,estimulaculo_14082,3.71,1.5,200,5.21,-2.22,dropi,42.6,46.64,"margem_dropi,escalar_dropi",Fornecedor mais barato no Dropi neste par.,0.13
0.559,1552,Aspiradora portátil potente,10.99,1922,935fa890-1b52-40a5-87df-1950fed8f412,Aspirador de pó portátil compacto e potente,aspirador_14233,15.95,1.5,200,17.45,-6.46,dropi,37.0,50.87,"margem_dropi,escalar_dropi",Fornecedor mais barato no Dropi neste par.,0.1
0.581,1111,Luz solar led cob magnetica 20W,3.69,1208,72441a63-1f73-4889-9013-1698819d7edb,Luz Solar 20W,luzsolar_v-7952,3.5,1.5,100,5.0,-1.31,dropi,26.2,36.65,"margem_dropi,escalar_dropi",Fornecedor mais barato no Dropi neste par.,0.08
1.0,196,Mini localizador GPS magnético,3.99,1266,f2227062-b6ed-4c41-8da0-b43d6f1b67ee,Mini localizador GPS magnético,gpsmagn_15204,4.73,1.5,100,6.23,-2.24,dropi,36.0,59.48,"margem_dropi,escalar_dropi",Fornecedor mais barato no Dropi neste par.,0.08
0.664,127,Consola juego Retro,7.96,1010,6073f0c3-27d4-4b6a-a3d9-72776d8156ad,Consola de Jogos Retro,consol8270_15719,49.5,1.5,70,51.0,-43.04,dropi,84.4,56.7,"margem_dropi,escalar_dropi",Fornecedor mais barato no Dropi neste par.,0.07
0.558,377,Molde para hacer empanadillas dumplings,3.49,1390,d06e0813-0c9d-4aa7-8bb2-9436c7f99de1,Molde para Fazer Empanadas e Dumplings,moldedumpl_15562,4.58,1.5,100,6.08,-2.59,dropi,42.6,38.09,"margem_dropi,escalar_dropi",Fornecedor mais barato no Dropi neste par.,0.07
0.552,969,Mascarilla Capilar Reparación 500ml,5.49,2893,5eb2a142-31cd-451e-82ab-011ee7ce2eac,Máscara Capilar Reparadora 500ml,maskpelo_15621,4.49,1.5,200,5.99,-0.5,dropi,8.3,38.61,"margem_dropi,escalar_dropi",Fornecedor mais barato no Dropi neste par.,0.07
0.593,516,Caja de Regalo de Rosa Preservada,6.99,1717,4d25ea95-0fda-4261-a016-618823c2a5d7,Rosa Preservada,rosapreser_15734,8.7,1.5,100,10.2,-3.21,dropi,31.5,41.05,"margem_dropi,escalar_dropi",Fornecedor mais barato no Dropi neste par.,0.06
0.558,21,Corrector de postura,1.99,2462,abfab034-484f-4753-bc93-b1d6d0b69ef8,Corretor de Postura,postura_13903,4.65,1.5,100,6.15,-4.16,dropi,67.6,41.2,margem_dropi,Fornecedor mais barato no Dropi neste par.,0.04
0.683,173,Aspirador de coche portátil,4.19,3501,2c681c80-ce9f-4ee0-a864-b48d7de60597,Aspirador de mão portátil,aspijb-107_15109,7.64,1.5,100,9.14,-4.95,dropi,54.2,49.07,"margem_dropi,escalar_dropi",Fornecedor mais barato no Dropi neste par.,0.03
0.552,18,Depiladora eléctrica,3.49,3358,a3be5409-e5cb-45d3-bc06-a3cef1ad360d,Depiladora 3 em 1,depiladora_14907,5.6,1.5,90,7.1,-3.61,dropi,50.8,39.32,"margem_dropi,escalar_dropi",Fornecedor mais barato no Dropi neste par.,0.03
0.647,408,Aspirador de coche portátil 3 en 1,4.99,6163,2c681c80-ce9f-4ee0-a864-b48d7de60597,Aspirador de mão portátil,aspijb-107_15109,7.64,1.5,100,9.14,-4.15,dropi,45.4,45.63,"margem_dropi,escalar_dropi",Fornecedor mais barato no Dropi neste par.,0.02
